id	vernacularName	language	locality
786	laranjinha	PORTUGUES	Pernambuco
786	lima d'anta	PORTUGUES	Minas Gerais
786	paratudo-vermelho	PORTUGUES	Espírito Santo
786	pratudo	PORTUGUES	Bahia, Minas Gerais, Rio de Janeiro
814	café-bravo	PORTUGUES	Maranhão
814	casca grossa	PORTUGUES	Acre
814	pau d'arquinho	PORTUGUES	Acre
814	pirarara	PORTUGUES	Acre
814	pirarara branca	PORTUGUES	Acre
817	pau-voação	PORTUGUES	Bahia
817	redondo	PORTUGUES	Pernambuco
819	carrapateiro	PORTUGUES	PR
819	chupa-ferro	PORTUGUES	SP
819	pitaguará	PORTUGUES	SP
819	vira-sarerê	PORTUGUES	BA
823	arco-de-pipa	PORTUGUES	MG
823	caputuna	PORTUGUES	SP
823	cataguá	PORTUGUES	SP
823	laranjeira-do-mato	PORTUGUES	MG
823	limoeira-do-mato	PORTUGUES	MG
847	arapoca	PORTUGUES	vários estados, muitas exsicatas e em Pio Correa 1926
847	arapoca branca	PORTUGUES	vários estados, muitas exsicatas e em Pio Correa 1926
847	arapoca verdadeira	PORTUGUES	vários estados, muitas exsicatas e em Pio Correa 1926
847	banha-de-galinha	PORTUGUES	Bahia
847	mucanga	PORTUGUES	Bahia e Minas Gerais
847	sucanga	PORTUGUES	Bahia e Minas Gerais
849	amarelinho	PORTUGUES	Sudeste e Nordeste
849	arapoca-amarela	PORTUGUES	Sudeste e Bahia
849	cocão	PORTUGUES	Ceará
849	gema-de-ovo	PORTUGUES	Sudeste
849	guataiapoca	PORTUGUES	Sudeste
849	gurataiapoca	PORTUGUES	Sudeste
849	pau-amarelo	PORTUGUES	Sudeste
850	capança	PORTUGUES	Pará
850	caporé	PORTUGUES	Pará
850	pirarara	PORTUGUES	Acre
869	batiputazinho	PORTUGUES	Pará
876	jaborandi	PORTUGUES	Nordeste
882	arruda	PORTUGUES	Maranhão
882	arruda-brava	PORTUGUES	Maranhão
882	jaborandi	PORTUGUES	Pará, Maranhão e Piauí
887	pitaguará do branco	PORTUGUES	Santa Catarina
888	crista-de-peru	PORTUGUES	São Paulo
888	cutia	PORTUGUES	Paraná, Rio Grande do Sul
888	cutia-branca	PORTUGUES	Santa Catarina
888	guatambu	PORTUGUES	Paraná
888	guaximbiriçu	PORTUGUES	Paraná
888	jaborandi	PORTUGUES	Paraná, Rio Grande do Sul
888	pau-de-cutia	PORTUGUES	Paraná, Rio Grande do Sul
893	humaitá	PORTUGUES	Acre
893	jambú-açu	PORTUGUES	Acre
898	arengueiro	PORTUGUES	Bahia
898	catinga-de-porco	PORTUGUES	Bahia
898	jaborandi-da-restinga	PORTUGUES	Rio de Janeiro
898	jaburandi	PORTUGUES	Ceará
898	pimentinha	PORTUGUES	Ceará
900	jaborandi-da-restinga	PORTUGUES	Rio de Janeiro
901	catinga-de-porco	PORTUGUES	Nordeste
903	arengueiro, catinga-de-porco	PORTUGUES	Bahia
903	jaborandi, jaburandi	PORTUGUES	Sudeste
907	jaborandi	PORTUGUES	Bahia
907	vidro	PORTUGUES	Bahia
908	catiguá	PORTUGUES	Minas Gerais
908	jaborandi	PORTUGUES	Piauí
953	cafezinho	PORTUGUES	Maranhão
961	cocão-coringa	PORTUGUES	Norte
964	osso-de-porco	PORTUGUES	ES
1008	mameluco	PORTUGUES	Ceará, Fernandes et al. s.n., EAC
1008	manacá	PORTUGUES	Ceará, Couceiro & Cordeiro s.n., IPA
1008	sete-cascos	PORTUGUES	Pernambuco, Carvalho 39
795	para-tudo	PORTUGUES	
795	quina	PORTUGUES	
83464	malícia	PORTUGUES	
1021	quina negra	PORTUGUES	Venezuela
1023	manacá	PORTUGUES	Mato Grosso
1023	manacá-do-cerrado	PORTUGUES	Centro-Oeste
1025	ingá-da-mata, laranjinha	PORTUGUES	Maranhão
1025	mamuri bali	INGLES	Guiana
1025	pariguanilla	ESPANHOL	Peru
1042	guararupuangi	PORTUGUES	Acre
1048	pirarara branca	PORTUGUES	Acre
1068	laranjeira-brava	PORTUGUES	Bahia
1068	laranjeira-do-mato	PORTUGUES	Minas Gerais
1068	tinguaciba	PORTUGUES	Rio de Janeiro
1075	limãozinho	PORTUGUES	Acre
1075	limãozinho amarelo	PORTUGUES	Acre
1075	tamanqueira	PORTUGUES	Mato Grosso
1081	arruda	PORTUGUES	Paraná
1081	cera cozida	PORTUGUES	Mato Grosso do Sul
1081	espinheiro-preto	PORTUGUES	Ceará
1081	limãozinho preto	PORTUGUES	Ceará
1081	maminha preta	PORTUGUES	Mato Grosso do Sul
1081	mamiqueira-fedorenta	PORTUGUES	São Paulo
1081	pau-de-barrão	PORTUGUES	Nordeste
1081	tabatinga	PORTUGUES	Rio de Janeiro
1081	tamanqueira	PORTUGUES	Pará
1092	assacurana	PORTUGUES	Amazonas
1092	limãorana	PORTUGUES	Amazonas
1092	limãozinho	PORTUGUES	Acre e Amazonas
1092	tamanqueira	PORTUGUES	Amazonas e Pará
1100	limãozinho	PORTUGUES	Acre, Rondônia
1100	mama-de-porca	PORTUGUES	Pará
1100	tamanqueira	PORTUGUES	Pará
1100	tamanqueira-amarela	PORTUGUES	Pará
1104	arruda-amarela	PORTUGUES	São Paulo
1104	coentrilho	PORTUGUES	Santa Catarina
1104	mamica-de-cadela	PORTUGUES	sul do Brasil
1104	mamica-de-porca	PORTUGUES	sul do Brasil
1104	mamica-de-porca branca	PORTUGUES	São Paulo
1108	coentrilho	PORTUGUES	Sul
1108	mamica-de-cadela, mamica-de-porca	PORTUGUES	Sudeste e Sul
1114	catuaba-de-espinho	PORTUGUES	Maranhão
1114	laranjinha	PORTUGUES	Ceará
1114	quebra-faca	PORTUGUES	Ceará
1114	tinguaciba	PORTUGUES	Ceará
1116	ardente	PORTUGUES	Bahia
1116	laranjinha	PORTUGUES	Ceará
1116	limãozinho	PORTUGUES	Ceará
1118	maruparana	PORTUGUES	Amazonas
1118	tamanqueira-de-terra firme	PORTUGUES	Pará
1124	juvevê	PORTUGUES	Sul
1124	tembetari	PORTUGUES	Sul
1133	laranjeira-do-mato	PORTUGUES	Rio de Janeiro
1133	limão-bravo	PORTUGUES	Bahia, Rio de Janeiro
1133	limãozinho	PORTUGUES	Alagoas, Pernambuco, Rio de Janeiro
1133	limeirinha	PORTUGUES	Pará, M.F.F. Silva et al. 1573
1133	maminha-de-porca	PORTUGUES	Minas Gerais e São Paulo
1133	tinguaciba-da-restinga	PORTUGUES	Rio de Janeiro
1135	limãozinho, limão-bravo	PORTUGUES	Nordeste
1135	maminha-de-porca	PORTUGUES	Sudeste
1136	limeirinha, pau-limão	PORTUGUES	Pará
1139	espinho-cheiroso	PORTUGUES	Bahia
1147	tamanqueira-de-espinho.	PORTUGUES	Norte
1150	catuaba	PORTUGUES	Norte
1150	laranjinha	PORTUGUES	Norte
1150	limãozinho	PORTUGUES	Acre
1152	catinga-de-bode	PORTUGUES	Minas Gerais
1152	laranjeira-do-mato	PORTUGUES	Minas Gerais
1152	laranjinha	PORTUGUES	Pernambuco
1152	limão-bravo	PORTUGUES	Bahia, Minas Gerais, Paraíba, Pernambuco
1152	limãozinho	PORTUGUES	Bahia, Minas Gerais, Paraíba, Pernambuco
1152	mamica-de-porca	PORTUGUES	Paraná
1152	pau-barrão	PORTUGUES	Pernambuco
1152	tembetaru	PORTUGUES	Rio de Janeiro
1161	laranjeira	PORTUGUES	Sudeste
1161	laranjeira-brava	PORTUGUES	Sudeste
1161	tinguaciba	PORTUGUES	Sudeste
1162	carne-de-anta	PORTUGUES	Amazônia
1162	espinho-de-vintém	PORTUGUES	Sudeste e Sul
1162	juva	PORTUGUES	Sul
1162	juvevê	PORTUGUES	Sul
1162	laranjeira-brava	PORTUGUES	Nordeste
1162	laranjinha	PORTUGUES	Nordeste
1162	limãozinho	PORTUGUES	Nordeste
1162	mamica-de-cadela	PORTUGUES	Sudeste e Sul
1162	mamica-de-porca	PORTUGUES	Sudeste e Sul
1162	pau-de-cachorro	PORTUGUES	Rio Grande do Sul
1162	tamanqueira-de-espinho	PORTUGUES	Amazônia
1162	tamanqueira-limão	PORTUGUES	Amazônia
1162	tamanqueiro(a)	PORTUGUES	Sudeste e Sul
1162	tambatarão	PORTUGUES	Sudeste e Sul
1162	tembetaru	PORTUGUES	Sudeste e Sul
1162	teta-de-cadela	PORTUGUES	Sudeste e Sul
1162	tinguaciba	PORTUGUES	Sudeste e Sul
1169	laranjeira-brava	PORTUGUES	São Paulo
21574	bruto	PORTUGUES	
1169	limãozinho	PORTUGUES	Acre, Rondônia
1169	limãozinho branco	PORTUGUES	Acre
1169	mama-de-porca	PORTUGUES	Goiás, DF, Mato Grosso do Sul, São Paulo
1169	mamicão	PORTUGUES	São Paulo
1169	mamonilha-de-porca	PORTUGUES	Goiás
1169	tamanquaré	PORTUGUES	Mato Grosso
1174	mamica-de-porca	PORTUGUES	Mato Grosso do Sul
1174	maminha-de-porca	PORTUGUES	Mato Grosso do Sul
1175	mamica-de-porca	PORTUGUES	Centro-Oeste
1175	maminha-de-porca	PORTUGUES	Centro-Oeste
1181	limãozinho	PORTUGUES	Acre
1181	limãozinho preto	PORTUGUES	Acre
1181	limãozinho-preto	PORTUGUES	Acre
1182	laranjeira-brava	PORTUGUES	Bahia
1182	laranjinha	PORTUGUES	Piauí
1182	limãozinho	PORTUGUES	Ceará
1184	espinho-de-barrão	PORTUGUES	Pernambuco
1184	limãozinho	PORTUGUES	Ceará, Paraíba
1186	laranjeira	PORTUGUES	Bahia
1301	pau-amargo	PORTUGUES	Sudeste e Sul
1301	pau-tenente, tenente-josé	PORTUGUES	Sudeste
1307	caferana	PORTUGUES	Norte
1334	manga-de-anta	PORTUGUES	Acre
1334	paratudo, pratudo	PORTUGUES	Norte e Nordeste
1334	pau-para-tudo	PORTUGUES	Norte
1336	caixeta-preta	PORTUGUES	Sudeste
1336	paratudo	PORTUGUES	Bahia
1344	caixeta-preta	PORTUGUES	Sudeste
1344	paratudo	PORTUGUES	Bahia
1346	marupá do cerrado	PORTUGUES	Mato Grosso
1346	mata-barata branco	PORTUGUES	Minas Gerais
1349	cajurana	PORTUGUES	Norte
1352	cajurana	PORTUGUES	Norte
1357	calunga	PORTUGUES	Sudeste
1357	paraíba-mirim	PORTUGUES	Sudeste
1368	marupá	PORTUGUES	Acre
1369	marupá	PORTUGUES	Norte
1370	calunga-grande	PORTUGUES	Goiás
1371	marupazinho	PORTUGUES	Norte
1371	serve-para-tudo	PORTUGUES	Norte
1376	casca-para-tudo	PORTUGUES	Minas Gerais
1377	calunga	PORTUGUES	Centro-Oeste
1377	mata-cachorro-do-chão	PORTUGUES	Centro-Oeste
1379	mata-barata	PORTUGUES	Minas Gerais
1381	amarelinho	PORTUGUES	Acre
1381	marupá	PORTUGUES	Norte
1381	marupá preto	PORTUGUES	Acre
1394	mata-cachorro	PORTUGUES	Sudeste e Nordeste
1394	paraíba	PORTUGUES	Nordeste
1412	Rabo-de-raposa	PORTUGUES	Nordeste do Brasil
1415	Rabo-de-raposa	PORTUGUES	Nordeste do Brasil
1416	Rabo-de-raposa, Rabo-de-onça	PORTUGUES	Nordeste do Brasil
1419	Sabugo-do-capeta	PORTUGUES	Nordeste do Brasil
1430	Urumbeba, Rumbeba, Cumbeba, Mumbeca, Mumbebo, Facho-de-renda, Palmatória grande, Palmatória-do-diabo, Ambeba, Arumbeva, Gerumbeba, Jurubeba, Palmadora, Palmatória, Xiquexique-do-sertão.	PORTUGUES	Nordeste do Brasil
1440	Cardo-ananá, Cardo-de-praia, Cardo-vinagre, Figueira-do-inferno	PORTUGUES	Região Nordeste do Brasil
1447	Mandacaru, Mandacaru-de-boi, Mandacaru-facheiro, Mandacaru-de-faixo, Cardeiro, Jamacaru, Jamaracurú, Jumucurú, Jumarucú, Cumbeba, Urumbeba	PORTUGUES	Nordeste do Brasil
1463	Quiabo-da-lapa	PORTUGUES	Região Sudeste do Brasil
1466	Rabo-de-raposa, Quiabo-da-lapa, Quiabo-do-inferno	PORTUGUES	Região Sudeste do Brasil
1472	Mandacaru-de-topete, Facheiro-das-pedras	PORTUGUES	Sudeste do Brasil
1483	Frade-de-cavalo	PORTUGUES	Nordeste do Brasil
1518	Facheiro-preto, Xique-xique-preto	PORTUGUES	Nordeste do Brasil
1519	Facheiro-da-serra, Xique-xique-amarelo	PORTUGUES	Nordeste do Brasil
1520	Facheiro, Facheiro-preto	PORTUGUES	Nordeste do Brasil
1521	Facheiro-preto	PORTUGUES	Nordeste do Brasil
1540	Rabo-de-raposa, Passa-prá-lá	PORTUGUES	Nordeste do Brasil
1549	Rainha-da-noite, Mandacaru-de-três-quinas, Espada-de-jacaré	PORTUGUES	Nordeste do Brasil
1555	Rabo-de-Arara	PORTUGUES	Nordeste do Brasil
1598	Rabo-de-raposa	PORTUGUES	Sudeste do Brasil
1609	Palmatória, Palma, Palma-miuda, Palma-doce	PORTUGUES	Nordeste do Brasil
1613	Palmatória	PORTUGUES	Nordeste do Brasil
1614	Palmatória, Palma, Palma-gigante, Figo-da-índia, Figo-da-Espanha, Jamaracá, Jurumbeba	PORTUGUES	Nordeste do Brasil
1616	Urumbeba, Palmatória, Monducuru	PORTUGUES	Nordeste do Brasil
1633	Azedinha	PORTUGUES	Nordeste do Brasil
1633	Espinho-preto, Surucucú, Cipó-Santo	PORTUGUES	Nordeste do Brasil
1633	Lobolôbô, Espinho-de-Santo-Antônio	PORTUGUES	Nordeste do Brasil
1633	Ora-pro-nobis	PORTUGUES	Nordeste e sudeste do Brasil
1634	Facho, Ora-pro-nobis-da-mata	PORTUGUES	Nordeste do Brasil
1635	Quiabento (Quiá-bento), Inhabento, Jumbeba, Surucurú, Flor-de-cera, Espinho-de-Santo-Antônio, Entrada-de-baile, Ora-pro-nobis	PORTUGUES	Nordeste do Brasil
1637	Entrada-de-baile, Rosa-mole, Sem-vergonha	PORTUGUES	Nordeste e sudeste do Brasil
1637	Sabonete, Ora-pro-nobis, Quiabento	PORTUGUES	Nordeste e sudeste do Brasil
110298	Sasirano	PORTUGUES	
1638	Ora-pro-nobis	PORTUGUES	Nordeste e sudeste do Brasil
1641	Quiabento (Quiá-bento), Inhabento, Jumbeba, Surucurú, Flor-de-cera, Espinho-de-Santo-Antônio, Entrada-de-baile, Ora-pro-nobis	PORTUGUES	Nordeste do Brasil
1643	. Facheiro-da-praia	PORTUGUES	Nordeste do Brasil
1647	Rabo-de-raposa, Quiabo-da-lapa, Quiabo-do-inferno, Cabeça-de-velho	PORTUGUES	Sudeste do Brasil
1653	Facheiro	PORTUGUES	Nordeste do Brasil
1654	Facheiro, Facheiro-da-praia	PORTUGUES	Nordeste do Brasil
1659	Quiabo-da-lapa	PORTUGUES	Sudeste do Brasil
1664	Xique-xique, Alastrado	PORTUGUES	Nordeste do Brasil
1665	Xique-xique-das-pedras, Chique-chique, Cheque-cheque.	PORTUGUES	Nordeste do Brasil
1667	Facheiro	PORTUGUES	Nordeste do Brasil
1668	Facheiro, Facheiro-azul, Mandacaru-de-facho	PORTUGUES	Nordeste do Brasil
1670	Calumbi	PORTUGUES	Nordeste do Brasil
1671	Facheiro, Facheiro-fino, Mandacaru-de-veado	PORTUGUES	Nordeste do Brasil
1674	Caxacubri, Mandacaru-de-laço	PORTUGUES	Nordeste do Brasil
1678	Catana-de-jacaré	PORTUGUES	Nordeste do Brasil
1680	Espinho-de-Santo-Antônio	PORTUGUES	Nordeste do Brasil
1680	Flor-de-cera	PORTUGUES	Nordeste do Brasil
1680	Quiabento	PORTUGUES	Nordeste do Brasil
1683	Enxerto, Conambaia, Tripa-de-galinha	PORTUGUES	Nordeste do Brasil
1701	Dedinho	PORTUGUES	Nordeste do Brasil
1707	Enxerto	PORTUGUES	Nordeste do Brasil
1730	Mandacaru-da-serra	PORTUGUES	Nordeste do Brasil
1751	Rabo-de-rato, Cipó-de-espinhos, Rabo-de-espinhos	PORTUGUES	Nordeste do Brasil
1752	Rabo-de-rato, Rabo-de-gato, Cipó-de-espinho, Quipá-voador, Trança-perna	PORTUGUES	Nordeste do Brasil
1753	Quipá, Guibá, Guipá, Palmatória, Palmatória-miúda, Iviro, Gogóia, Palma-de-ovelha	PORTUGUES	Nordeste do Brasil
1754	Palmatória, Palmatória-de-espinho, Palma-de-espinhos, Palma, Palminha, Quipá-de-espinho, Quipá, Palmatória-de-quipá, Rabo de onça	PORTUGUES	Nordeste do Brasil
1757	Palma	PORTUGUES	Nordeste do Brasil
1762	Coroa-de-frade, cabeça de frade	PORTUGUES	Sudeste do Brasil
1766	Quiabo-da-lapa	PORTUGUES	Sudeste do Brasil
3955	Brinco de princesa	PORTUGUES	
3956	Brinco de princesa	PORTUGUES	
4046	cruz-de-malta	PORTUGUES	sudeste
4049	chilillo	ESPANHOL	Honduras (Nelson & Romero 4615)
4071	canario de agua	ESPANHOL	Guatemala
4082	crista-de-galo	PORTUGUES	nordeste
4090	crista-de-galinha	PORTUGUES	sudeste
4092	crista-de-galo	PORTUGUES	sudeste
4097	canela-de-jacomi	PORTUGUES	centro-oeste
4097	erva-de-gado	PORTUGUES	sudeste
4110	anil-bravo	PORTUGUES	sudeste
4121	melosa	PORTUGUES	
4121	melosa-de-boi	PORTUGUES	Ceará
4260	Golfe	PORTUGUES	Nordeste
4262	Golfe	PORTUGUES	nordeste
4263	Golfe	PORTUGUES	centro-oeste
4266	língua-de-vaca	PORTUGUES	sul, sudeste
4267	Golfe	PORTUGUES	Nordeste
4268	golfe	PORTUGUES	nordeste
4268	lingua de vaca	PORTUGUES	sudeste
4273	Golfe	PORTUGUES	nordeste
4309	Mofungo-rabudo	PORTUGUES	Sul
4310	Mofungo-gigante	PORTUGUES	Sul
4312	ançarinha-branca	PORTUGUES	Sul
4312	erva-formigueira-branca	PORTUGUES	Sul
4313	mastruz	PORTUGUES	Acre
4320	corango-veludo	PORTUGUES	Sul
4330	canela-Velha e Anador	PORTUGUES	Nordeste
4330	Ginseng-brasileiro	PORTUGUES	Sul
4331	Corango-de-seda	PORTUGUES	Sul
4332	Corango-de-batata	PORTUGUES	Sul
4381	acajaiba	PORTUGUES	Brasil
4381	caju	PORTUGUES	Brasil
4381	caju-anão	PORTUGUES	Brasil
4381	cajueiro	PORTUGUES	Brasil
4383	aroeira-rajada	PORTUGUES	Minas Gerais
4383	guarubu-violeta	PORTUGUES	Espírito Santo
4383	itapicuru-ferreiro	PORTUGUES	Nordeste
4383	mucuri	PORTUGUES	Nordeste
4384	aroeira-d'água	PORTUGUES	Mato Grosso do Sul
4384	Brito	PORTUGUES	Pernambuco
4384	sete cascas	PORTUGUES	Pernambuco
4384	ubatan	PORTUGUES	Sudeste
4385	aderne	PORTUGUES	Reserva de Linhares - Espírito Santo
4385	aroeira	PORTUGUES	Acre
4385	gibatan	PORTUGUES	Espírito Santo
4385	guaritá	PORTUGUES	sul e sudeste
4385	ubatan	PORTUGUES	Espírito Santo
4388	canjerana	PORTUGUES	Bahia
4388	cedro-brabo	PORTUGUES	Bahia
4393	maracanã	PORTUGUES	Rio Grande do Sul
4393	pau-ferro	PORTUGUES	Rio Grande do Sul
4394	almecega	PORTUGUES	Minas Gerais
3940	Brinco de princesa	PORTUGUES	
4300	Bico de Nambu	PORTUGUES	
4394	aroeira	PORTUGUES	Brasil
4394	aroeira-do-sertão	PORTUGUES	Minas Gerais
4394	urundeuva	PORTUGUES	São Paulo
4396	baraúna	PORTUGUES	nordeste
4396	braúna	PORTUGUES	nordeste
4397	aroeira-do-campo	PORTUGUES	Rio Grande do Sul
4397	carobá	PORTUGUES	Rio Grande do Sul
4398	aroeira-folha-de-salso	PORTUGUES	Sul
4398	aroeira-mansa	PORTUGUES	Sul
4401	aroeira-da-praia	PORTUGUES	Bahia
4401	aroeira-de-remédio	PORTUGUES	Bahia
4401	aroeira-mansa	PORTUGUES	Sudeste
4401	aroeira-vermelha	PORTUGUES	Bahia
4403	cajá-redondo	PORTUGUES	sudeste
4403	cajazeiro	PORTUGUES	sudeste
4404	cajá	PORTUGUES	Acre
4404	cajá-mirim	PORTUGUES	Brasil
4404	cajarana	PORTUGUES	Acre
4404	cajazeira	PORTUGUES	Acre, Bahia
4404	cajazinho	PORTUGUES	Acre
4404	taperebá	PORTUGUES	Brasil
4405	imbuzeiro	PORTUGUES	Nordeste
4405	tapereba	PORTUGUES	Nordeste
4405	umbu	PORTUGUES	Nordeste
4406	cajá	PORTUGUES	Nordeste
4406	cajazeira	PORTUGUES	Sudeste
4408	camboatá	PORTUGUES	Bahia
4408	cupuba	PORTUGUES	Bahia
4408	pau-pombo	PORTUGUES	Brasil
4408	peito-de-pomba	PORTUGUES	Bahia
4409	pau-pombo	PORTUGUES	Acre
4409	peito-de-pomba	PORTUGUES	sudeste
4411	amaparana	PORTUGUES	Norte
4411	manga-brava	PORTUGUES	Bahia
4411	mututurana	PORTUGUES	Norte
4411	tutuzuba-da-várzea	PORTUGUES	Norte
4508	dedal-de-princesa	PORTUGUES	Sudeste
4508	dedal-de-rainha	PORTUGUES	Sudeste
4508	margarida	PORTUGUES	Acre
4512	cipó-de-paina	PORTUGUES	Rio de Janeiro
4512	cipó-de-sapo	PORTUGUES	
4512	mouth-vine	INGLES	
4512	paina-de-seda	PORTUGUES	São Paulo
4517	cega-olho	PORTUGUES	Bahia
4517	margarida	PORTUGUES	Acre
4517	oficial-de-sala	PORTUGUES	Brasil
4524	guatambuzinho	PORTUGUES	
4526	quina	PORTUGUES	
4530	peroba-rosa	PORTUGUES	
4551	mucugê	PORTUGUES	nordeste
4601	cipó-de-leite	PORTUGUES	sudeste
4620	Banana de papagaio	PORTUGUES	Sudeste
4621	Janaúba	PORTUGUES	Nordeste
4621	Tiborna	PORTUGUES	Nordeste
4840	pau-de-cachimbo	PORTUGUES	nordeste
4841	pau-de-cachimbo-branco	PORTUGUES	nordeste
4841	pau-de-leite	PORTUGUES	nordeste
4857	candinha	PORTUGUES	Ceará
4857	cipó janamba	PORTUGUES	Maranhão
4913	antúrio-da-serra	PORTUGUES	sudeste, sul
4985	Erva-de-cobra	PORTUGUES	Rio de Janeiro
4986	Jararaca	PORTUGUES	Distrito Federal
4992	Jararaca	PORTUGUES	Bahia
4993	Batata-de-cobra	PORTUGUES	Paraná
5000	cipó-titica	PORTUGUES	Brasil
5000	timbó-peba	PORTUGUES	Brasil
5010	costela de adão	PORTUGUES	Nordeste
5011	tajá brava	PORTUGUES	Acre
5011	timbó-titica	PORTUGUES	Pará
5023	Banana do brejo	PORTUGUES	Brasil
5023	Imbê de comer	PORTUGUES	Brasil
5028	Cipó preto	PORTUGUES	Santa Catarina
5033	Imbirana	PORTUGUES	
5043	Imbé	PORTUGUES	Bahia
5052	Filodendro	PORTUGUES	
5062	Aringa-iba	PORTUGUES	Rio de Janeiro
4904	erva-mate	PORTUGUES	
4904	mate	PORTUGUES	
5026	Banana do brejo	PORTUGUES	
