"original_family","original_name","name_in_Flora","original_ID","final_family","scientificName","taxonID","vernacular_names","notes","tax_notes","notes_fam","nome_especie","establishmentMeans","occurrenceRemarks","location","lifeForm","vegetationType","habitat","GTSearch"
"Araliaceae","Schefflera burchellii (Seem.) Frodin & Fiaschi","Schefflera burchellii (Seem.) Frodin & Fiaschi",15658,"Araliaceae","Schefflera burchellii (Seem.) Frodin & Fiaschi",15658,,"LFB","name ok","","Schefflera burchellii","NATIVA","Endemica/Caatinga-Endemica/Cerrado","BR-PI-BR-MA-BR-BA-BR-TO-BR-MT-BR-GO","Arbusto-Árvore","Cerrado (lato sensu)","Terrícola","sim"
"Araliaceae","Schefflera longipetiolata (Pohl ex DC.) Frodin & Fiaschi","Schefflera longipetiolata (Pohl ex DC.) Frodin & Fiaschi",5141,"Araliaceae","Schefflera longipetiolata (Pohl ex DC.) Frodin & Fiaschi",5141,,"LFB","name ok","","Schefflera longipetiolata","NATIVA","Endemica/Mata Atlântica","BR-RJ-BR-MG","Árvore","Floresta Ombrófila (= Floresta Pluvial)","Terrícola",
"Araliaceae","Schefflera selloi (Marchal) Frodin & Fiaschi","Schefflera selloi (Marchal) Frodin & Fiaschi",5144,"Araliaceae","Schefflera selloi (Marchal) Frodin & Fiaschi",5144,,"LFB","name ok","","Schefflera selloi","NATIVA","Endemica/Mata Atlântica","BR-ES-BR-BA","Árvore","Restinga","Terrícola","sim"
"Asteraceae","Acritopappus prunifolius R.M.King & H.Rob.","Acritopappus prunifolius R.M.King & H.Rob.",15927,"Asteraceae","Acritopappus prunifolius R.M.King & H.Rob.",15927,,"LFB","name ok","","Acritopappus prunifolius","NATIVA","Endemica/Caatinga-Endemica/Cerrado","BR-BA","Árvore","Campo rupestre-Cerrado (lato sensu)-Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Asteraceae","Lychnophora rupestris Semir","Lychnophora rupestris Semir",133793,"Asteraceae","Lychnophora rupestris Semir",133793,,"LFB","name ok","","Lychnophora rupestris","NATIVA","Endemica/Cerrado","BR-MG","Arbusto-Árvore","Campo rupestre","Terrícola","sim"
"Asteraceae","Lychnophora staavioides Mart.","Lychnophora staavioides Mart.",27256,"Asteraceae","Lychnophora staavioides Mart.",27256,,"LFB","name ok","","Lychnophora staavioides","NATIVA","Endemica/Cerrado","BR-MG","Arbusto-Árvore","Campo rupestre","Terrícola","sim"
"Asteraceae","Piptocarpha axillaris (Less.) Baker","Piptocarpha axillaris (Less.) Baker",5474,"Asteraceae","Piptocarpha axillaris (Less.) Baker",5474,"Canela-podre, Maria-mole-PORTUGUES-Santa Catarina/Cambará-do-campo, Vassourão-PORTUGUES-São Paulo","LFB","name ok","","Piptocarpha axillaris","NATIVA","Endemica/Mata Atlântica","BR-PR-BR-SC-BR-RS-BR-ES-BR-MG-BR-SP-BR-RJ","Árvore","Floresta Estacional Semidecidual-Floresta Ombrófila (= Floresta Pluvial)-Floresta Ombrófila Mista",,"sim"
"Asteraceae","Piptocarpha densifolia Dusén ex G. Lom. Sm.","Piptocarpha densifolia Dusén ex G. Lom. Sm.",5476,"Asteraceae","Piptocarpha densifolia Dusén ex G. Lom. Sm.",5476,"Vassourãozinho-PORTUGUES-Santa Catarina/Cambará-branco-PORTUGUES-Paraná","LFB","name ok","","Piptocarpha densifolia","NATIVA","Endemica/Mata Atlântica","BR-SC-BR-SP-BR-PR","Árvore","Floresta Ombrófila (= Floresta Pluvial)-Floresta Ombrófila Mista","Terrícola","sim"
"Asteraceae","Piptocarpha organensis Cabrera","Piptocarpha organensis Cabrera",5483,"Asteraceae","Piptocarpha organensis Cabrera",5483,,"LFB","name ok","","Piptocarpha organensis","NATIVA","Endemica/Mata Atlântica","BR-SP-BR-MG-BR-RJ","Árvore","Floresta Ombrófila (= Floresta Pluvial)-Floresta Ombrófila Mista","Terrícola","sim"
"Boraginaceae","Cordia aberrans I.M.Johnst.","Cordia aberrans I.M.Johnst.",16503,"Boraginaceae","Cordia aberrans I.M.Johnst.",16503,,"LFB","name ok","","Cordia aberrans","NATIVA","Endemica/Mata Atlântica","BR-RJ-BR-ES-BR-BA","Arbusto-Árvore","Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Boraginaceae","Cordia anabaptista Cham.","Cordia anabaptista Cham.",16504,"Boraginaceae","Cordia anabaptista Cham.",16504,,"LFB","name ok","","Cordia anabaptista","NATIVA","Endemica/Mata Atlântica","BR-ES-BR-CE-BR-MA-BR-BA","Arbusto-Árvore","Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Burseraceae","Protium widgrenii Engl.","Protium widgrenii Engl.",6602,"Burseraceae","Protium widgrenii Engl.",6602,,"LFB","name ok","","Protium widgrenii","NATIVA","Endemica/Mata Atlântica","BR-ES-BR-BA-BR-SP-BR-RJ-BR-MG","Árvore","Floresta Estacional Semidecidual-Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Canellaceae","Cinnamodendron axillare Endl. ex Walp.","Cinnamodendron axillare Endl. ex Walp.",6651,"Canellaceae","Cinnamodendron axillare Endl. ex Walp.",6651,"bom-para-tudo-PORTUGUES-Sudeste/canela-branca-PORTUGUES-Sudeste, Sul/casca-de-cutia-PORTUGUES-Sudeste","LFB","name ok","","Cinnamodendron axillare","NATIVA","Endemica/Mata Atlântica","BR-RJ-BR-SC-BR-PR","Árvore","Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Celastraceae","Monteverdia ardisiifolia (Reissek) Biral","Monteverdia ardisiifolia (Reissek) Biral",604477,"Celastraceae","Monteverdia ardisiifolia (Reissek) Biral",604477,,"LFB","name ok","","Monteverdia ardisiifolia","NATIVA","Endemica/Mata Atlântica","BR-ES-BR-SP-BR-RJ","Arbusto-Árvore","Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Celastraceae","Monteverdia cestrifolia (Reissek) Biral","Monteverdia cestrifolia (Reissek) Biral",604520,"Celastraceae","Monteverdia cestrifolia (Reissek) Biral",604520,,"LFB","name ok","","Monteverdia cestrifolia","NATIVA","Endemica/Mata Atlântica","BR-SP-BR-RJ","Arbusto-Árvore","Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Celastraceae","Monteverdia glaucescens (Reissek) Biral","Monteverdia glaucescens (Reissek) Biral",604604,"Celastraceae","Monteverdia glaucescens (Reissek) Biral",604604,,"LFB","name ok","","Monteverdia glaucescens","NATIVA","Endemica/Mata Atlântica","BR-SC-BR-PR-BR-MG-BR-SP","Arbusto-Árvore","Campo de Altitude-Floresta Ombrófila Mista","Terrícola","sim"
"Celastraceae","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","Monteverdia littoralis (R.M. Carvalho-Okano) Biral",605287,"Celastraceae","Monteverdia littoralis (R.M. Carvalho-Okano) Biral",605287,,"LFB","name ok","","Monteverdia littoralis","NATIVA","Endemica/Mata Atlântica","BR-SC-BR-PR-BR-SP-BR-RJ","Arbusto-Árvore","Floresta Ombrófila (= Floresta Pluvial)-Manguezal-Restinga","Terrícola","sim"
"Celastraceae","Monteverdia macrophylla (Mart.) Biral","Monteverdia macrophylla (Mart.) Biral",605270,"Celastraceae","Monteverdia macrophylla (Mart.) Biral",605270,,"LFB","name ok","","Monteverdia macrophylla","NATIVA","Endemica/Mata Atlântica","BR-ES-BR-RJ-BR-BA","Arbusto-Árvore","Floresta Estacional Semidecidual-Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Celastraceae","Monteverdia rigida (Mart.) Biral","Monteverdia rigida (Mart.) Biral",604679,"Celastraceae","Monteverdia rigida (Mart.) Biral",604679,"bom-nome-PORTUGUES-Nordeste/cabelo-de-nego-PORTUGUES-RN/pau-de-colher-PORTUGUES-Nordeste","LFB","name ok","","Monteverdia rigida","NATIVA","Endemica/Caatinga-Endemica/Cerrado","BR-MG-BR-GO-BR-SE-BR-RN-BR-PI-BR-PE-BR-PB-BR-CE-BR-BA-BR-AL","Arbusto-Árvore","Área Antrópica-Caatinga (stricto sensu)-Floresta Estacional Decidual-Vegetação Sobre Afloramentos Rochosos","Terrícola","sim"
"Chrysobalanaceae","Couepia venosa Prance","Couepia venosa Prance",34664,"Chrysobalanaceae","Couepia venosa Prance",34664,"milho cozido-PORTUGUES-NA","LFB","name ok","","Couepia venosa","NATIVA","Endemica/Mata Atlântica","BR-SP-BR-RJ-BR-MG","Árvore","Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Chrysobalanaceae","Licania nitida Hook.f.","Licania nitida Hook.f.",16846,"Chrysobalanaceae","Licania nitida Hook.f.",16846,,"LFB","name ok","","Licania nitida","NATIVA","Endemica/Caatinga-Endemica/Cerrado-Endemica/Mata Atlântica","BR-SP-BR-RJ-BR-MG-BR-ES-BR-BA-BR-GO","Arbusto-Árvore","Cerrado (lato sensu)-Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Clusiaceae","Clusia dardanoi G.Mariz & Maguire","Clusia dardanoi G.Mariz & Maguire",6833,"Clusiaceae","Clusia dardanoi G.Mariz & Maguire",6833,,"LFB","name ok","","Clusia dardanoi","NATIVA","Endemica/Caatinga-Endemica/Mata Atlântica","BR-SE-BR-AL-BR-PE-BR-BA","Arbusto-Árvore","Campo rupestre-Floresta Estacional Semidecidual-Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Combretaceae","Terminalia eichleriana Alwan & Stace","Terminalia eichleriana Alwan & Stace",16897,"Combretaceae","Terminalia eichleriana Alwan & Stace",16897,"camaçari (PI), chapado (PI), capitão (MG)-PORTUGUES-PI, MG/pau-de-chapada, casquinha-PORTUGUES-MG","LFB","name ok","","Terminalia eichleriana","NATIVA","Endemica/Caatinga-Endemica/Cerrado","BR-MG-BR-PI-BR-BA","Arbusto-Árvore","Caatinga (stricto sensu)","Terrícola","sim"
"Combretaceae","Terminalia mameluco Pickel","Terminalia mameluco Pickel",6920,"Combretaceae","Terminalia mameluco Pickel",6920,"mameluco-PORTUGUES-Pernambuco (Nordeste)/pelada-PORTUGUES-Espírirto Santo (Sudeste), Minas Gerais (Sudeste)","LFB","name ok","","Terminalia mameluco","NATIVA","Endemica/Caatinga-Endemica/Mata Atlântica","BR-MG-BR-CE-BR-ES-BR-PE-BR-BA","Árvore","Caatinga (stricto sensu)-Floresta Estacional Semidecidual-Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Combretaceae","Terminalia phaeocarpa Eichler","Terminalia phaeocarpa Eichler",28350,"Combretaceae","Terminalia phaeocarpa Eichler",28350,"capitão, mirindiba, capitão-da-mata-PORTUGUES-DF, MG","LFB","name ok","","Terminalia phaeocarpa","NATIVA","Endemica/Cerrado","BR-TO-BR-SP-BR-MG-BR-BA-BR-MT-BR-MS-BR-GO-BR-DF","Árvore","Cerrado (lato sensu)","Terrícola","sim"
"Connaraceae","Connarus detersus Planch.","Connarus detersus Planch.",6950,"Connaraceae","Connarus detersus Planch.",6950,,"LFB","name ok","","Connarus detersus","NATIVA","Endemica/Caatinga-Endemica/Mata Atlântica","BR-MG-BR-RJ-BR-ES-BR-CE-BR-BA","Arbusto-Árvore","Área Antrópica-Carrasco-Floresta Ciliar ou Galeria-Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Connaraceae","Connarus nodosus Baker","Connarus nodosus Baker",6952,"Connaraceae","Connarus nodosus Baker",6952,"mata cachorro-PORTUGUES-Rio de Janeiro/mauba do mato-PORTUGUES-Rio de Janeiro","LFB","name ok","","Connarus nodosus","NATIVA","Endemica/Mata Atlântica","BR-RJ-BR-ES","Arbusto-Árvore","Restinga","Terrícola","sim"
"Dichapetalaceae","Stephanopodium blanchetianum Baill.","Stephanopodium blanchetianum Baill.",7327,"Dichapetalaceae","Stephanopodium blanchetianum Baill.",7327,,"LFB","name ok","","Stephanopodium blanchetianum","NATIVA","Endemica/Mata Atlântica","BR-MG-BR-BA","Árvore","Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Dichapetalaceae","Tapura lanceolata (Ducke) Rizzini","Tapura lanceolata (Ducke) Rizzini",82237,"Dichapetalaceae","Tapura lanceolata (Ducke) Rizzini",82237,,"LFB","name ok","","Tapura lanceolata","NATIVA","Endemica/Amazônia","BR-AM","Árvore","Floresta de Terra Firme-Floresta de Várzea","Terrícola","sim"
"Ebenaceae","Diospyros akaraiensis A.C.Sm.","Diospyros akaraiensis A.C.Sm.",82303,"Ebenaceae","Diospyros akaraiensis A.C.Sm.",82303,,"LFB","name ok","","Diospyros akaraiensis","NATIVA","Endemica/Amazônia","BR-PA","Árvore","Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Ebenaceae","Diospyros brasiliensis Mart. ex Miq.","Diospyros brasiliensis Mart. ex Miq.",7432,"Ebenaceae","Diospyros brasiliensis Mart. ex Miq.",7432,,"LFB","name ok","","Diospyros brasiliensis","NATIVA","Endemica/Mata Atlântica","BR-ES-BR-SP-BR-RJ","Árvore","Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Ebenaceae","Diospyros bullata A.C.Sm.","Diospyros bullata A.C.Sm.",82305,"Ebenaceae","Diospyros bullata A.C.Sm.",82305,"Grão de galo-PORTUGUES-Amazonas/Ucuhuba-PORTUGUES-Amazonas","LFB","name ok","","Diospyros bullata","NATIVA","Endemica/Amazônia","BR-AM","Árvore","Campinarana-Floresta de Terra Firme-Floresta de Várzea-Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Ebenaceae","Diospyros coccolobifolia Mart. ex Miq.","Diospyros coccolobifolia Mart. ex Miq.",17311,"Ebenaceae","Diospyros coccolobifolia Mart. ex Miq.",17311,,"LFB","name ok","","Diospyros coccolobifolia","NATIVA","Endemica/Cerrado","BR-MG-BR-PI-BR-CE-BR-BA","Árvore","Cerrado (lato sensu)","Terrícola","sim"
"Ebenaceae","Diospyros santaremnensis Sandwith","Diospyros santaremnensis Sandwith",82324,"Ebenaceae","Diospyros santaremnensis Sandwith",82324,,"LFB","name ok","","Diospyros santaremnensis","NATIVA","Endemica/Amazônia","BR-RO-BR-PA-BR-AM","Arbusto-Árvore","Floresta de Terra Firme","Terrícola","sim"
"Ericaceae","Agarista glaberrima (Sleumer) Judd","Agarista glaberrima (Sleumer) Judd",25444,"Ericaceae","Agarista glaberrima (Sleumer) Judd",25444,,"LFB","name ok","","Agarista glaberrima","NATIVA","Endemica/Cerrado","BR-MG","Arbusto-Árvore","Campo rupestre","Terrícola","sim"
"Ericaceae","Agarista revoluta (Spreng.) J.D. Hook. ex Nied.","Agarista revoluta (Spreng.) J.D. Hook. ex Nied.",7467,"Ericaceae","Agarista revoluta (Spreng.) J.D. Hook. ex Nied.",7467,,"LFB","name ok","","Agarista revoluta","NATIVA","Endemica/Mata Atlântica","BR-MG-BR-ES-BR-RJ-BR-BA","Arbusto-Árvore","Floresta Ombrófila (= Floresta Pluvial)-Restinga","Terrícola","sim"
"Ericaceae","Gaylussacia salicifolia Sleumer","Gaylussacia salicifolia Sleumer",7503,"Ericaceae","Gaylussacia salicifolia Sleumer",7503,,"LFB","name ok","","Gaylussacia salicifolia","NATIVA","Endemica/Cerrado","BR-GO-BR-MG","Arbusto-Árvore","Campo rupestre","Terrícola","sim"
"Erythroxylaceae","Erythroxylum affine A.St.-Hil.","Erythroxylum affine A.St.-Hil.",7681,"Erythroxylaceae","Erythroxylum affine A.St.-Hil.",7681,"batinga-roxa-PORTUGUES-Nordeste","LFB","name ok","","Erythroxylum affine","NATIVA","Endemica/Mata Atlântica","BR-SE-BR-RJ-BR-ES-BR-PE-BR-BA-BR-AL","Arbusto-Árvore","Floresta Estacional Semidecidual-Floresta Ombrófila (= Floresta Pluvial)-Restinga","Terrícola","sim"
"Erythroxylaceae","Erythroxylum andrei Plowman","Erythroxylum andrei Plowman",7684,"Erythroxylaceae","Erythroxylum andrei Plowman",7684,,"LFB","name ok","","Erythroxylum andrei","NATIVA","Endemica/Mata Atlântica","BR-SE-BR-BA-BR-AL","Arbusto-Árvore","Restinga","Terrícola","sim"
"Erythroxylaceae","Erythroxylum columbinum Mart.","Erythroxylum columbinum Mart.",7691,"Erythroxylaceae","Erythroxylum columbinum Mart.",7691,"fruta-de-pombo-PORTUGUES-Bahia/fruta-de-pombinha-PORTUGUES-Bahia","LFB","name ok","","Erythroxylum columbinum","NATIVA","Endemica/Mata Atlântica","BR-ES-BR-PE-BR-BA","Arbusto-Árvore","Floresta Estacional Semidecidual-Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Erythroxylaceae","Erythroxylum frangulifolium A.St.-Hil.","Erythroxylum frangulifolium A.St.-Hil.",7701,"Erythroxylaceae","Erythroxylum frangulifolium A.St.-Hil.",7701,,"LFB","name ok","","Erythroxylum frangulifolium","NATIVA","Endemica/Mata Atlântica","BR-RJ","Arbusto-Árvore","Floresta Estacional Semidecidual-Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Erythroxylaceae","Erythroxylum grandifolium Peyr.","Erythroxylum grandifolium Peyr.",17421,"Erythroxylaceae","Erythroxylum grandifolium Peyr.",17421,,"LFB","name ok","","Erythroxylum grandifolium","NATIVA","Endemica/Mata Atlântica","BR-MG-BR-BA","Arbusto-Árvore","Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Erythroxylaceae","Erythroxylum hamigerum O.E.Schulz","Erythroxylum hamigerum O.E.Schulz",7705,"Erythroxylaceae","Erythroxylum hamigerum O.E.Schulz",7705,,"LFB","name ok","","Erythroxylum hamigerum","NATIVA","Endemica/Mata Atlântica","BR-BA","Arbusto-Árvore","Floresta Ombrófila (= Floresta Pluvial)-Restinga","Terrícola","sim"
"Erythroxylaceae","Erythroxylum macrocalyx Mart.","Erythroxylum macrocalyx Mart.",7709,"Erythroxylaceae","Erythroxylum macrocalyx Mart.",7709,,"LFB","name ok","","Erythroxylum macrocalyx","NATIVA","Endemica/Caatinga-Endemica/Cerrado-Endemica/Mata Atlântica","BR-SE-BR-MG-BR-BA","Arbusto-Árvore","Caatinga (stricto sensu)-Cerrado (lato sensu)-Floresta Estacional Decidual-Floresta Estacional Semidecidual","Terrícola","sim"
"Erythroxylaceae","Erythroxylum nobile O.E.Schulz","Erythroxylum nobile O.E.Schulz",7719,"Erythroxylaceae","Erythroxylum nobile O.E.Schulz",7719,"araticuntiaia-PORTUGUES-Sergipe","LFB","name ok","","Erythroxylum nobile","NATIVA","Endemica/Mata Atlântica","BR-SE-BR-BA","Arbusto-Árvore","Floresta Estacional Semidecidual-Floresta Ombrófila (= Floresta Pluvial)-Restinga","Terrícola","sim"
"Erythroxylaceae","Erythroxylum ochranthum Mart.","Erythroxylum ochranthum Mart.",7721,"Erythroxylaceae","Erythroxylum ochranthum Mart.",7721,,"LFB","name ok","","Erythroxylum ochranthum","NATIVA","Endemica/Mata Atlântica","BR-PB-BR-BA","Arbusto-Árvore","Floresta Estacional Semidecidual-Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Erythroxylaceae","Erythroxylum polygonoides Mart.","Erythroxylum polygonoides Mart.",17428,"Erythroxylaceae","Erythroxylum polygonoides Mart.",17428,,"LFB","name ok","","Erythroxylum polygonoides","NATIVA","Endemica/Caatinga-Endemica/Cerrado-Endemica/Mata Atlântica","BR-PE-BR-BA","Arbusto-Árvore","Caatinga (stricto sensu)-Campo rupestre-Floresta Estacional Decidual-Floresta Estacional Semidecidual-Vegetação Sobre Afloramentos Rochosos","Rupícola-Terrícola","sim"
"Erythroxylaceae","Erythroxylum splendidum Plowman","Erythroxylum splendidum Plowman",7731,"Erythroxylaceae","Erythroxylum splendidum Plowman",7731,,"LFB","name ok","","Erythroxylum splendidum","NATIVA","Endemica/Mata Atlântica","BR-BA","Arbusto-Árvore","Restinga","Terrícola","sim"
